'序号', '图片名称', '录入时间', '识别结果', '目标数目', '用时', '保存路径'
1, 'D:/1/d1a4398dd0249885ffd54d58d8351e1b.png', '2025-05-17 00:01:22', [], 0, '0.23s', 'D:\\1\\code24_yolov5\\output\\2025_05_17_00_01_12\\img_result\\d1a4398dd0249885ffd54d58d8351e1b.png'
2, 'D:/1/data/yolo/test/images/test/ridderzuring_0157_jpg.rf.eabc9a499070f250f9b5ed280e2352dc.jpg', '2025-05-17 00:01:37', [], 0, '0.26s', 'D:\\1\\code24_yolov5\\output\\2025_05_17_00_01_12\\img_result\\ridderzuring_0157_jpg.rf.eabc9a499070f250f9b5ed280e2352dc.jpg'
3, 'D:/1/data/yolo/test/images/test/ridderzuring_0157_jpg.rf.eabc9a499070f250f9b5ed280e2352dc.jpg', '2025-05-17 00:01:38', [], 0, '0.19s', 'D:\\1\\code24_yolov5\\output\\2025_05_17_00_01_12\\img_result\\ridderzuring_0157_jpg.rf.eabc9a499070f250f9b5ed280e2352dc.jpg'
4, 'D:/1/data/yolo/test/images/test/ridderzuring_0157_jpg.rf.eabc9a499070f250f9b5ed280e2352dc.jpg', '2025-05-17 00:01:40', [], 0, '0.21s', 'D:\\1\\code24_yolov5\\output\\2025_05_17_00_01_12\\img_result\\ridderzuring_0157_jpg.rf.eabc9a499070f250f9b5ed280e2352dc.jpg'
5, 'D:/1/data/yolo/val/images/val/ridderzuring_0148_jpg.rf.8a2223e2c32a90ef5f5698f8fc7661bc.jpg', '2025-05-17 00:10:50', [], 0, '1.08s', 'D:\\1\\code24_yolov5\\output\\2025_05_17_00_01_12\\img_result\\ridderzuring_0148_jpg.rf.8a2223e2c32a90ef5f5698f8fc7661bc.jpg'
6, 'D:/1/data/yolo/val/images/val/ridderzuring_0148_jpg.rf.8a2223e2c32a90ef5f5698f8fc7661bc.jpg', '2025-05-17 00:10:51', [], 0, '0.98s', 'D:\\1\\code24_yolov5\\output\\2025_05_17_00_01_12\\img_result\\ridderzuring_0148_jpg.rf.8a2223e2c32a90ef5f5698f8fc7661bc.jpg'
7, 'D:/1/data/yolo/val/images/val/ridderzuring_0148_jpg.rf.8a2223e2c32a90ef5f5698f8fc7661bc.jpg', '2025-05-17 00:10:52', [], 0, '0.91s', 'D:\\1\\code24_yolov5\\output\\2025_05_17_00_01_12\\img_result\\ridderzuring_0148_jpg.rf.8a2223e2c32a90ef5f5698f8fc7661bc.jpg'
8, 'D:/1/data/yolo/val/images/val/ridderzuring_0148_jpg.rf.8a2223e2c32a90ef5f5698f8fc7661bc.jpg', '2025-05-17 00:10:53', [], 0, '0.97s', 'D:\\1\\code24_yolov5\\output\\2025_05_17_00_01_12\\img_result\\ridderzuring_0148_jpg.rf.8a2223e2c32a90ef5f5698f8fc7661bc.jpg'
9, 'D:/1/data/yolo/val/images/val/ridderzuring_0148_jpg.rf.8a2223e2c32a90ef5f5698f8fc7661bc.jpg', '2025-05-17 00:10:54', [], 0, '1.05s', 'D:\\1\\code24_yolov5\\output\\2025_05_17_00_01_12\\img_result\\ridderzuring_0148_jpg.rf.8a2223e2c32a90ef5f5698f8fc7661bc.jpg'
10, 'D:/1/data/yolo/val/images/val/ridderzuring_0148_jpg.rf.8a2223e2c32a90ef5f5698f8fc7661bc.jpg', '2025-05-17 00:10:55', [], 0, '1.02s', 'D:\\1\\code24_yolov5\\output\\2025_05_17_00_01_12\\img_result\\ridderzuring_0148_jpg.rf.8a2223e2c32a90ef5f5698f8fc7661bc.jpg'
